"","ASV1","ASV17","ASV30","ASV75","ASV299","ASV302","ASV317","ASV329","ASV370","ASV505","ASV509","ASV526","ASV547","ASV614","ASV634","ASV643","ASV680","ASV709","ASV715","ASV736","ASV741","ASV780","ASV881","ASV892","ASV1111","ASV1135","ASV1424","ASV1498","ASV1644","ASV1691","ASV1744","ASV2132","ASV2177","ASV2180","ASV2243","ASV2395","ASV2459"
"E3_c",10599,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E4_a",75892,24,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"E4_b",58116,187,63,26,0,9,5,8,1,1,1,4,1,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E4_c",61056,13,55,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E5_a",79470,11,82,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"E5_b",304058,271,269,115,2,3,2,3,1,0,8,6,3,0,0,1,0,0,0,1,1,2,1,0,3,2,0,0,10,0,0,0,0,0,0,0,0
"E5_c",118267,44,103,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"F2_a",32489,4,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F3_a",7919,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"F3_b",26598,374,76,13,4,9,8,10,10,10,5,4,1,1,4,2,7,0,1,2,4,2,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0
"F3_c",9469,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F4_a",92604,21,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
"F4_b",89369,249,93,38,3,13,10,5,3,1,0,2,6,0,0,0,3,0,0,0,0,2,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0
"F4_c",89785,34,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,16,0,0,0,0,0,0
"F5_a",6068,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,4,0,0,0,0,0,0,0,0
"G1_a",798,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1_b",8680,132,25,7,5,3,4,3,3,4,3,2,1,1,2,1,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"G1_c",579,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2_a",105194,18,77,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2_b",89223,72,63,30,2,4,2,3,5,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2_c",104976,11,92,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G3_a",64059,10,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"G3_b",63485,764,161,31,24,26,14,18,21,11,2,6,4,8,8,7,3,0,0,1,12,3,5,0,0,4,0,0,0,0,0,0,7,0,0,1,0
"G3_c",47188,8,49,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4_a",63359,9,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
